From Date,PM2.5,PM10,NO,NO2,NOx,SO2,CO,Ozone,NH3,Station,Year,Month,Day,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NOx_SubIndex,NH3_SubIndex,CO_SubIndex,Ozone_SubIndex,AQI,AQI_Bucket
2020-01-03,82.89741206030149,243.09209068010068,27.913536977491948,9.904852459016434,21.932807017543865,17.272439024390252,9.125263157894729,2.076397984886649,25.99554156171284,New Industrial Town Faridabad - HSPCB,2020,January,Friday,195.33333333333331,173.33333333333331,21.25,26.25,6.25,187.5,2.0,195.0,Moderate
2020-02-03,82.89741206030149,243.09209068010068,27.913536977491948,9.904852459016434,21.932807017543865,17.272439024390252,9.125263157894729,2.076397984886649,25.99554156171284,New Industrial Town Faridabad - HSPCB,2020,February,Monday,195.33333333333331,173.33333333333331,21.25,26.25,6.25,187.5,2.0,195.0,Moderate
2020-03-03,82.89741206030149,243.09209068010068,27.913536977491948,9.904852459016434,21.932807017543865,17.272439024390252,9.125263157894729,2.076397984886649,25.99554156171284,New Industrial Town Faridabad - HSPCB,2020,March,Tuesday,195.33333333333331,173.33333333333331,21.25,26.25,6.25,187.5,2.0,195.0,Moderate
2020-04-03,88.72,222.33,47.2,9.11,42.61,2.77,0.61,48.79,15.03,New Industrial Town Faridabad - HSPCB,2020,April,Friday,181.33333333333331,193.33333333333331,2.5,52.5,3.75,0.0,48.0,193.0,Moderate
2020-05-03,47.51,131.89,46.9,8.84,40.4,4.84,0.17,10.43,14.9,New Industrial Town Faridabad - HSPCB,2020,May,Sunday,120.66666666666667,78.33333333333333,5.0,50.0,3.5,0.0,10.0,121.0,Moderate
2020-06-03,22.48,43.55,48.84,8.53,43.18,7.21,1.02,6.74,15.38,New Industrial Town Faridabad - HSPCB,2020,June,Wednesday,43.0,36.666666666666664,8.75,53.75,3.75,50.0,6.0,54.0,Satisfactory
2020-07-03,64.53,144.12,53.1,9.77,46.93,5.71,1.77,2.27,16.75,New Industrial Town Faridabad - HSPCB,2020,July,Friday,129.33333333333334,113.33333333333333,6.25,57.5,4.0,50.0,2.0,129.0,Moderate
2020-08-03,87.03,142.24,54.05,8.17,47.61,7.65,1.9,5.16,16.71,New Industrial Town Faridabad - HSPCB,2020,August,Monday,128.0,190.0,8.75,58.75,4.0,50.0,5.0,190.0,Moderate
2020-09-03,62.13,154.32,61.51,12.74,52.67,5.87,1.43,4.52,11.61,New Industrial Town Faridabad - HSPCB,2020,September,Thursday,136.0,106.66666666666667,6.25,65.0,2.75,50.0,4.0,136.0,Moderate
2020-10-03,106.38,166.92,79.63,19.15,73.86,9.66,1.74,4.14,4.91,New Industrial Town Faridabad - HSPCB,2020,October,Saturday,144.0,253.33333333333334,11.25,91.25,1.0,50.0,4.0,253.0,Poor
2020-11-03,76.02,139.94,80.14,18.84,74.11,11.14,1.68,5.77,4.95,New Industrial Town Faridabad - HSPCB,2020,November,Tuesday,126.0,153.33333333333334,13.75,92.5,1.0,50.0,5.0,153.0,Moderate
2020-12-03,85.37,194.56,83.94,21.16,77.55,11.97,1.66,11.79,5.17,New Industrial Town Faridabad - HSPCB,2020,December,Thursday,162.66666666666666,183.33333333333331,13.75,96.25,1.25,50.0,11.0,183.0,Moderate
2020-03-13,73.28,224.98,86.76,21.48,80.8,15.92,1.73,9.37,5.28,New Industrial Town Faridabad - HSPCB,2020,March,Friday,182.66666666666669,143.33333333333334,18.75,100.0,1.25,50.0,9.0,183.0,Moderate
